gas,brake,rpm,steer,speed,g_force_x,g_force_y,g_force_z,wheel_slip_front_left,wheel_slip_front_right,wheel_slip_rear_left,wheel_slip_rear_right,pressure_front_left,pressure_front_right,pressure_rear_left,pressure_rear_right,tyre_temp_front_left,tyre_temp_front_right,tyre_temp_rear_left,tyre_temp_rear_right,air_temp,road_temp,yaw_rate,current_time_str,normalized_car_position,wind_speed,wind_direction,result
1.0,0.0,7385,0.0,270.40960693359375,0.1869746744632721,0.24297544360160828,0.10745569318532944,0.04107821360230446,0.06583916395902634,0.15432395040988922,0.18463291227817535,21.764842987060547,22.53567886352539,22.851844787597656,22.960147857666016,71.67372131347656,79.06263732910156,82.09326171875,83.13142395019531,26.0,36.0,0.02809261716902256,1:08:076,0.35616689920425415,0.0,-168.0,neutral
1.0,0.0,7420,0.0,271.00146484375,0.1386808305978775,0.11307995021343231,-0.06605162471532822,0.04777050018310547,0.061726510524749756,0.18038494884967804,0.19056130945682526,21.764671325683594,22.53830337524414,22.854454040527344,22.963062286376953,71.6720962524414,79.08780670166016,82.11824035644531,83.15933227539062,26.0,36.0,-1.7042206309270114e-05,1:08:178,0.35763245820999146,0.0,-168.0,neutral
1.0,0.0,7444,0.0,271.599365234375,0.13073112070560455,0.03299824148416519,-0.07541371136903763,0.05315299704670906,0.05461215227842331,0.19576898217201233,0.19734379649162292,21.764616012573242,22.54088020324707,22.85715675354004,22.965925216674805,71.67150115966797,79.11247253417969,82.1441421508789,83.18672943115234,26.0,36.0,-0.00031220895471051335,1:08:277,0.359056293964386,0.0,-168.0,neutral
1.0,0.0,7462,0.0,272.2226867675781,0.11805704981088638,0.020647140219807625,-0.07266796380281448,0.055722642689943314,0.05631120130419731,0.19578231871128082,0.19329577684402466,21.764446258544922,22.54305648803711,22.859798431396484,22.968692779541016,71.6698989868164,79.13330841064453,82.16943359375,83.21324920654297,26.0,36.0,0.0008008520817384124,1:08:376,0.3604850769042969,0.0,-168.0,neutral
1.0,0.0,7473,0.0,272.8218688964844,0.11256995797157288,0.017702512443065643,-0.048032816499471664,0.05486651882529259,0.050725605338811874,0.19151483476161957,0.18904314935207367,21.764497756958008,22.5455379486084,22.862607955932617,22.971704483032227,71.67035675048828,79.15703582763672,82.19635009765625,83.24209594726562,26.0,36.0,0.0021492440719157457,1:08:478,0.36196157336235046,0.0,-168.0,neutral
1.0,0.0,7484,0.0,273.430419921875,0.14865446090698242,0.016168566420674324,-0.07600732147693634,0.05560385435819626,0.052347101271152496,0.1857301890850067,0.1847970187664032,21.764251708984375,22.54782485961914,22.865264892578125,22.97451400756836,71.66800689697266,79.17899322509766,82.2218017578125,83.26900482177734,26.0,36.0,0.0014414977049455047,1:08:577,0.3633958101272583,0.0,-168.0,neutral
1.0,0.0,7487,0.0,274.0238952636719,0.15953169763088226,0.012324224226176739,0.22345958650112152,0.05290462449193001,0.04876244440674782,0.17132030427455902,0.16961669921875,21.764423370361328,22.550373077392578,22.86801528930664,22.977394104003906,71.66958618164062,79.203369140625,82.2481460571289,83.29657745361328,26.0,36.0,0.001672560116276145,1:08:676,0.3648342490196228,0.0,-168.0,neutral
1.0,0.0,7516,0.0,274.5899658203125,0.15611042082309723,0.013027532026171684,-0.11212526261806488,0.053557876497507095,0.049479659646749496,0.186294823884964,0.18518072366714478,21.764358520507812,22.552791595458984,22.870880126953125,22.980350494384766,71.66899871826172,79.22655487060547,82.27561950683594,83.32492065429688,26.0,36.0,0.0015996621223166585,1:08:778,0.36631742119789124,0.0,-168.0,neutral
1.0,0.0,7533,0.0,275.1754455566406,0.15794022381305695,0.011406189762055874,-0.19809530675411224,0.057534173130989075,0.0527256578207016,0.18873824179172516,0.18780899047851562,21.763717651367188,22.554656982421875,22.87335205078125,22.98291778564453,71.66284942626953,79.24445343017578,82.29932403564453,83.34957885742188,26.0,36.0,0.0013644141145050526,1:08:877,0.3677624464035034,0.0,-168.0,neutral
1.0,0.0,7535,0.0,275.75543212890625,0.16251873970031738,0.010569083504378796,0.154853954911232,0.055463943630456924,0.05105561763048172,0.17261213064193726,0.17059071362018585,21.763526916503906,22.556758880615234,22.875762939453125,22.985401153564453,71.66101837158203,79.26456451416016,82.32239532470703,83.37332916259766,26.0,36.0,0.001636118395254016,1:08:979,0.3692527711391449,0.0,-168.0,neutral
1.0,0.0,7537,0.0,276.2831115722656,0.1612612009048462,0.009816945530474186,0.03195488825440407,0.04696725308895111,0.04493844509124756,0.16375094652175903,0.16194292902946472,21.763954162597656,22.559329986572266,22.87891387939453,22.98865509033203,71.66510772705078,79.28922271728516,82.35260009765625,83.40450286865234,26.0,36.0,0.0009112112456932664,1:09:078,0.37070390582084656,0.0,-168.0,neutral
1.0,0.0,7578,0.0,276.804443359375,0.037476442754268646,0.020829318091273308,-0.803300678730011,0.06336994469165802,0.05034121870994568,0.19164247810840607,0.19123780727386475,21.762998580932617,22.56062126159668,22.881662368774414,22.991552352905273,71.65596008300781,79.30162811279297,82.37899780273438,83.43232727050781,26.0,36.0,0.003164160531014204,1:09:180,0.3722008764743805,0.0,-168.0,neutral
